Emotional_Word,RGB_1,RGB_2,RGB_3
Cute,"[251, 167, 157]","[255, 242, 124]","[179, 22, 61]"
Childlike,"[251, 103, 89]","[255, 242, 124]","[153, 216, 212]"
Pretty,"[251, 167, 157]","[255, 242, 63]","[78, 181, 135]"
Sweet,"[251, 103, 89]","[253, 192, 145]","[251, 174, 193]"
Amusing,"[253, 166, 74]","[140, 201, 25]","[90, 177, 132]"
Bright,"[229, 0, 13]","[242, 100, 1]","[179, 22, 61]"
Casual,"[234, 124, 104]","[255, 127, 0]","[255, 242, 63]"
Cheerful,"[251, 103, 89]","[253, 192, 145]","[255, 242, 63]"
Colorful,"[251, 103, 89]","[78, 181, 135]","[177, 137, 193]"
Dazzling,"[255, 127, 0]","[78, 181, 135]","[95, 35, 141]"
Delicious,"[149, 60, 53]","[255, 127, 0]",
Enjoyable,"[255, 127, 0]","[255, 242, 63]","[140, 201, 25]"
Festive,"[229, 0, 13]","[140, 201, 25]","[255, 255, 255]"
Flamboyant,"[255, 127, 0]","[255, 242, 0]","[140, 201, 25]"
Friendly,"[253, 166, 74]","[255, 242, 63]","[179, 22, 61]"
Happy,"[251, 103, 89]","[248, 117, 157]",
Merry,"[251, 103, 89]","[253, 166, 74]","[255, 242, 124]"
Showy,"[255, 242, 0]","[17, 147, 82]","[40, 163, 119]"
Tropical,"[255, 127, 0]","[40, 163, 119]","[212, 0, 57]"
Vivid,"[255, 242, 0]","[17, 147, 82]","[3, 115, 138]"
Active,"[1, 144, 102]","[3, 115, 138]",
Bold,"[229, 0, 13]","[255, 242, 0]","[3, 115, 138]"
Dynamic,"[229, 0, 13]","[255, 242, 0]","[17, 147, 82]"
Dynamic and active,"[229, 0, 13]","[242, 100, 1]","[17, 147, 82]"
Fiery,"[212, 0, 57]","[0, 0, 0]",
Forceful,"[229, 0, 13]","[255, 127, 0]",
Hot,"[229, 0, 13]","[191, 169, 11]",
Intense,"[255, 242, 0]","[26, 67, 155]","[0, 0, 0]"
Lively,"[229, 0, 13]","[255, 127, 0]","[255, 242, 0]"
Provocative,"[17, 147, 82]","[40, 163, 119]","[3, 115, 138]"
Striking,"[140, 201, 25]","[103, 195, 183]","[26, 67, 155]"
Vigorous,"[229, 0, 13]","[17, 147, 82]","[1, 144, 102]"
Abundant,"[227, 26, 42]","[255, 127, 0]","[47, 105, 70]"
Alluring,"[227, 26, 42]","[106, 51, 135]","[187, 45, 105]"
Aromatic,"[242, 100, 1]",,
Brilliant,"[251, 103, 89]","[95, 35, 141]","[187, 45, 105]"
Decorative,"[191, 169, 11]","[0, 86, 48]","[37, 95, 81]"
Extravagant,"[138, 0, 7]","[191, 169, 11]","[32, 10, 70]"
Fascinating,"[227, 26, 42]","[95, 35, 141]","[248, 117, 157]"
Glossy,"[227, 26, 42]","[95, 35, 141]","[187, 45, 105]"
Gorgeous,"[253, 166, 74]","[140, 201, 25]","[90, 177, 132]"
Luxurious,"[227, 26, 42]","[242, 100, 1]","[191, 169, 11]"
Mature,"[227, 26, 42]","[191, 169, 11]","[96, 122, 38]"
Mellow,"[227, 26, 42]","[138, 112, 12]","[32, 10, 70]"
Rich,"[227, 26, 42]","[242, 100, 1]","[191, 169, 11]"
Substantial,"[112, 11, 1]","[112, 41, 3]","[191, 169, 11]"
Conservative,"[112, 41, 3]","[130, 99, 61]","[51, 73, 18]"
Elaborate,"[138, 0, 7]","[138, 112, 12]","[73, 114, 26]"
Heavy and deep,"[112, 11, 1]","[112, 41, 3]","[53, 32, 6]"
Old-fashioned,"[112, 11, 1]","[149, 78, 29]","[138, 112, 12]"
Provincial,"[145, 111, 93]","[166, 151, 51]","[112, 116, 72]"
Rustic,"[149, 78, 29]","[126, 100, 12]","[96, 122, 38]"
Sturdy,"[150, 58, 4]","[89, 55, 8]","[2, 22, 23]"
Tasteful,"[149, 60, 53]","[89, 55, 8]","[51, 73, 18]"
Traditional,"[112, 11, 1]","[149, 78, 29]","[89, 55, 8]"
Aristocratic,"[123, 150, 181]","[106, 51, 135]",
Bitter,"[126, 100, 12]","[1, 24, 10]","[51, 51, 51]"
Dapper,"[130, 99, 61]","[4, 36, 65]",
Diligent,"[149, 60, 53]","[149, 78, 29]","[96, 122, 38]"
Eminent,"[153, 194, 181]","[10, 21, 182]","[106, 51, 135]"
Placid,"[227, 26, 42]","[145, 111, 93]","[89, 55, 8]"
Practical,"[150, 58, 4]","[112, 116, 72]","[0, 86, 48]"
Quiet and sophisticated,"[227, 26, 42]","[53, 21, 3]","[138, 112, 12]"
Serious,"[227, 26, 42]","[53, 32, 6]","[33, 36, 10]"
Sound,"[53, 21, 3]","[130, 99, 61]","[0, 86, 48]"
Strong and robust,"[227, 26, 42]","[53, 21, 3]","[53, 32, 6]"
Subtle and mysterious,"[145, 111, 93]","[130, 99, 61]","[51, 73, 18]"
Authoritative,"[98, 116, 114]","[5, 11, 148]","[51, 51, 51]"
Dignified,"[227, 26, 42]","[14, 57, 21]","[98, 116, 114]"
Carnets,"[4, 36, 65]","[12, 32, 120]","[127, 127, 127]"
Formal,"[10, 21, 182]","[161, 161, 161]",
Majestic,"[1, 47, 45]","[121, 123, 131]","[32, 10, 70]"
Precious,"[5, 60, 88]","[106, 51, 135]",
Proper,"[5, 11, 148]",,
Soleman,"[33, 36, 10]","[98, 116, 114]","[5, 11, 148]"
Sublime,"[98, 116, 114]","[12, 32, 120]","[99, 63, 110]"
Clean,"[153, 215, 179]","[153, 216, 212]","[179, 204, 206]"
Clean and fresh,"[140, 201, 25]","[52, 156, 83]","[78, 181, 135]"
Clear,"[255, 250, 184]","[153, 216, 212]","[128, 166, 206]"
Light,"[230, 245, 164]","[217, 288, 288]",
Neat,"[153, 215, 179]","[57, 89, 153]",
Pure,"[153, 215, 179]","[204, 236, 232]","[57, 89, 153]"
Refreshing,"[145, 209, 127]","[78, 181, 135]","[103, 195, 183]"
Agile,"[1, 144, 102]","[103, 195, 183]","[26, 67, 155]"
Smart,"[103, 124, 100]","[40, 163, 119]","[42, 135, 145]"
Steady,"[179, 22, 61]","[17, 147, 82]","[191, 230, 200]"
Youthful,"[255, 242, 63]","[179, 22, 61]","[52, 156, 83]"
Cultivated,"[153, 215, 179]",,
Modern,"[1, 144, 102]","[42, 135, 145]","[51, 71, 108]"
Rational,"[32, 104, 113]","[12, 32, 120]","[26, 9, 42]"
Sharp,"[1, 144, 102]","[3, 115, 138]","[26, 67, 155]"
Precise,"[91, 165, 159]","[166, 181, 183]","[82, 82, 82]"
