Emotional_Word,Munsell_Code_1,Munsell_Code_2,Munsell_Code_3,Munsell_Code_4,Munsell_Code_5,Munsell_Code_6,Munsell_Code_7,Munsell_Code_8,Munsell_Code_9
Cute,5R 8/6,5Y 9/6,5GY 8/11,5G 8/6,5B 8/5,5RP 7/10, , , ,
Childlike,5R 7/10,5Y 9/6,5B 8/5,5RP 7/10, , , , , ,
Pretty,5R 8/6,5Y 8/11,5BG 7/9,5RP 7/10, , , , , ,
sweet,5R 7/10,5YR 9/4,5RP 8/6, , , , , , ,
Amusing,5YR 8/7,5GY 7/12,5BG 6.5/6,5P 4/12,5RP 4/10, , , , , 
Bright,5R 4/14,5YR 6/12,5GY 8/11,5G 7/10, , , , , ,
Casual,5R 6/6,5YR 6.5/15,5Y 8/11,5BG 5/11,5B 5/9,5PB 8/6, , , ,
Cheerful,5R 7/10,5YR 9/4,5Y 8/11, , , , , , ,
Colorful,5R 7/10,5BG 7/9,5P 7/9,5RP 4/12, , , , , , 
Dazzling,5YR 6.5/15,5BG 7/9,5P 4/12,5RP 4/12, , , , , ,
Delicious,5R 5/5,5YR 6.5/15, , , , , , , ,
Enjoyable,5YR 6.5/15,5Y 8/11,5GY 7/12,5G 8/6,5BG 7/9,5B 7/8,5RP 7/10, , , 
Festive,5R 4/14,5GY 7/12,N9.5, , , , , , ,
Flamboyant,5YR 6.5/15,,5Y 8/15,5GY 7/12,5G 5/11,5RP 4/12, , , ,  
Friendly,5YR 8/7,5Y 8/11,5GY 8/11,5BG 8/3, , , , , ,
Happy,5R 7/10,5RP 7/10, , , , , , , ,
Merry,5R 7/10,5YR 8/7,5Y 9/6,5G 7/10,5RP 7/10, , , , , 
Showy,5Y 8/15,5G 5/11,5BG 5.5/9,5B 5/11,5P 4/12,5RP 4/12, , , , 
Tropical,5YR 6.5/15,5BG 5.5/9,5RP 4/12, , , , , , ,
Vivid,5Y 8/15,5G 5/11,5B 5/11,5RP 4/12, , , , , ,
Active,5BG 5/11,5B 5/11, , , , , , , , 
Bold,5R 4/14,5Y 8/15,5B 5/11,N1.5, , , , , ,  
Dynamic,5R 4/14,5Y 8/15,5G 5/11,5RP 4/12, , , , , , 
Dynamic and active,5R 4/14,5YR 6/12,5G 5/11, , , , , , ,
Fiery,5RP 4/12,N1.5, , , , , , , ,
Forceful,5R 4/14,5YR 6.5/15, , , , , , , , 
Hot,5R 4/14,5Y 6/11, , , , , , , ,
Intense,5Y 8/15,5PB 4/12,N1.5, , , , , , ,  
Lively,5R 4/14,5YR 6.5/15,5Y 8/15,5G 5/11,5PB 4/12, , , , ,  
Provocative,5G 5/11,5BG 5.5/9,5B 5/11,5P 4/12,5RP 4/12, , , , , 
Striking,5GY 7/12,5B 7/8,5PB 4/12, , , , , , ,
Vigorous,5R 4/14,5G 5/11,5BG 5/11,5PB 4/12, , , , , ,
Abundant,5R 5/10,5YR 6.5/15,5G 4/5, , , , , , ,
Alluring,5R 5/10,5P 4/10,5RP 4/10, , , , , , ,
Aromatic,5YR 6/12, , , , , , , , ,
Brilliant,5R 7/10,5P 4/12,5RP 4/10 , , , , , , , 
Decorative,5Y 6/11,5G 3/7,5BG 4/6,5P 4/12,5RP 4/10, , , , , 
Extravagant,5R 3/10,5Y 6/11,5P 3/8,5RP 5/5, , , , , ,
Fascinating,5R 5/10,5P 4/12,5RP 7/10, , , , , , ,
Glossy,5R 5/10,5P 4/12,5RP 4/10, , , , ,  , ,
Gorgeous,5YR 8/7,5GY 7/12,5BG 6.5/6,5P 4/12,5RP 4/10, , , , , 
Luxurious,5R 5/10,5YR 6/12,5Y 6/11,5P 3/8,5RP 3/10, , , , ,
Mature,5R 5/10,5Y 6/11,5GY 5/5,5RP 3/10, , , , , ,
Mellow,5R 5/10,5Y 5/6,5P 3/8,5RP 5/5, , , , , , 
Rich,5R 5/10,5YR 6/12,5Y 6/11,5GY 4/8,5G 3/6, , , , , 
Substantial,5R 2.5/8,5YR 3/7,5Y 6/11,5RP 3/6, , , , , , 
Ethnic, 5R 3/10, 5Y 6/11, 5GY 6/10, 5G 3/7, 5BG 4/6, 5B 4/10, 5P 4/5, 5RP 3/10 , , 
