Emotional_Word,RGB_1,RGB_2,RGB_3,RGB_4,RGB_5,RGB_6,RGB_7,RGB_8,RGB_9
Cute,"[251, 167, 157]","[255, 242, 124]","[179, 22, 61]","[145, 209, 127]","[153, 216, 212]","[248, 117, 157]",,,
Childlike,"[251, 103, 89]","[255, 242, 124]","[153, 216, 212]","[248, 117, 157]",,,,,
Pretty,"[251, 167, 157]","[255, 242, 63]","[78, 181, 135]","[248, 117, 157]",,,,,
Sweet,"[251, 103, 89]","[253, 192, 145]","[251, 174, 193]",,,,,,
Amusing,"[253, 166, 74]","[140, 201, 25]","[90, 177, 132]","[95, 35, 141]","[187, 45, 105]",,,,
Bright,"[229, 0, 13]","[242, 100, 1]","[179, 22, 61]","[116, 196, 118]",,,,,
Casual,"[234, 124, 104]","[255, 127, 0]","[255, 242, 63]","[1, 144, 102]","[42, 135, 145]","[179, 204, 206]",,,
Cheerful,"[251, 103, 89]","[253, 192, 145]","[255, 242, 63]",,,,,,
Colorful,"[251, 103, 89]","[78, 181, 135]","[177, 137, 193]","[212, 0, 57]",,,,,
Dazzling,"[255, 127, 0]","[78, 181, 135]","[95, 35, 141]","[212, 0, 57]",,,,,
Delicious,"[149, 60, 53]","[255, 127, 0]",,,,,,,
Enjoyable,"[255, 127, 0]","[255, 242, 63]","[140, 201, 25]","[145, 209, 127]","[78, 181, 135]","[103, 195, 183]","[248, 117, 157]",,
Festive,"[229, 0, 13]","[140, 201, 25]","[255, 255, 255]",,,,,,
Flamboyant,"[255, 127, 0]","[255, 242, 0]","[140, 201, 25]","[17, 147, 82]","[212, 0, 57]",,,,
Friendly,"[253, 166, 74]","[255, 242, 63]","[179, 22, 61]","[144, 193, 156]",,,,,
Happy,"[251, 103, 89]","[248, 117, 157]",,,,,,,
Merry,"[251, 103, 89]","[253, 166, 74]","[255, 242, 124]","[116, 196, 118]","[248, 117, 157]",,,,
Showy,"[255, 242, 0]","[17, 147, 82]","[40, 163, 119]","[3, 115, 138]","[95, 35, 141]","[212, 0, 57]",,,
Tropical,"[255, 127, 0]","[40, 163, 119]","[212, 0, 57]",,,,,,
Vivid,"[255, 242, 0]","[17, 147, 82]","[3, 115, 138]","[212, 0, 57]",,,,,
Active,"[1, 144, 102]","[3, 115, 138]",,,,,,,
Bold,"[229, 0, 13]","[255, 242, 0]","[3, 115, 138]","[0, 0, 0]",,,,,
Dynamic,"[229, 0, 13]","[255, 242, 0]","[17, 147, 82]","[212, 0, 57]",,,,,
Dynamic and active,"[229, 0, 13]","[242, 100, 1]","[17, 147, 82]",,,,,,
Fiery,"[212, 0, 57]","[0, 0, 0]",,,,,,,
Forceful,"[229, 0, 13]","[255, 127, 0]",,,,,,,
Hot,"[229, 0, 13]","[191, 169, 11]",,,,,,,
Intense,"[255, 242, 0]","[26, 67, 155]","[0, 0, 0]",,,,,,
Lively,"[229, 0, 13]","[255, 127, 0]","[255, 242, 0]","[17, 147, 82]","[26, 67, 155]",,,,
Provocative,"[17, 147, 82]","[40, 163, 119]","[3, 115, 138]","[95, 35, 141]","[212, 0, 57]",,,,
Striking,"[140, 201, 25]","[103, 195, 183]","[26, 67, 155]",,,,,,
Vigorous,"[229, 0, 13]","[17, 147, 82]","[1, 144, 102]","[26, 67, 155]",,,,,
Abundant,"[227, 26, 42]","[255, 127, 0]","[47, 105, 70]",,,,,,
Alluring,"[227, 26, 42]","[106, 51, 135]","[187, 45, 105]",,,,,,
Aromatic,"[242, 100, 1]",,,,,,,,
Brilliant,"[251, 103, 89]","[95, 35, 141]","[187, 45, 105]",,,,,,
Decorative,"[191, 169, 11]","[0, 86, 48]","[37, 95, 81]","[95, 35, 141]","[187, 45, 105]",,,,
Extravagant,"[138, 0, 7]","[191, 169, 11]","[32, 10, 70]","[126, 58, 88]",,,,,
Fascinating,"[227, 26, 42]","[95, 35, 141]","[248, 117, 157]",,,,,,
Glossy,"[227, 26, 42]","[95, 35, 141]","[187, 45, 105]",,,,,,
Gorgeous,"[253, 166, 74]","[140, 201, 25]","[90, 177, 132]","[95, 35, 141]","[187, 45, 105]",,,,
Luxurious,"[227, 26, 42]","[242, 100, 1]","[191, 169, 11]","[32, 10, 70]","[105, 0, 51]",,,,
Mature,"[227, 26, 42]","[191, 169, 11]","[96, 122, 38]","[105, 0, 51]",,,,,
Mellow,"[227, 26, 42]","[138, 112, 12]","[32, 10, 70]","[126, 58, 88]",,,,,
Rich,"[227, 26, 42]","[242, 100, 1]","[191, 169, 11]","[73, 114, 26]","[14, 57, 21]",,,,
Substantial,"[112, 11, 1]","[112, 41, 3]","[191, 169, 11]","[73, 0, 35]",,,,,
Conservative,"[112, 41, 3]","[130, 99, 61]","[51, 73, 18]","[1, 24, 10]","[1, 47, 45]","[4, 36, 65]","[26, 9, 42]","[51, 51, 51]",
Elaborate,"[138, 0, 7]","[138, 112, 12]","[73, 114, 26]","[37, 95, 81]","[106, 51, 135]","[105, 0, 51]",,,
Heavy and deep,"[112, 11, 1]","[112, 41, 3]","[53, 32, 6]","[73, 114, 26]","[1, 24, 10]","[2, 22, 23]","[2, 22, 35]","[5, 11, 148]","[40, 0, 24]"
Old-fashioned,"[112, 11, 1]","[149, 78, 29]","[138, 112, 12]","[73, 0, 35]","[26, 26, 26]",,,,
Provincial,"[145, 111, 93]","[166, 151, 51]","[112, 116, 72]","[161, 161, 161]",,,,,
Rustic,"[149, 78, 29]","[126, 100, 12]","[96, 122, 38]","[40, 0, 24]",,,,,
Sturdy,"[150, 58, 4]","[89, 55, 8]","[2, 22, 23]","[5, 11, 148]","[26, 9, 42]","[40, 0, 24]","[26, 26, 26]",,
Tasteful,"[149, 60, 53]","[89, 55, 8]","[51, 73, 18]","[32, 10, 70]","[126, 58, 88]",,,,
Traditional,"[112, 11, 1]","[149, 78, 29]","[89, 55, 8]","[112, 116, 72]","[5, 11, 148]","[32, 10, 70]",,,
Aristocratic,"[123, 150, 181]","[106, 51, 135]",,,,,,,
Bitter,"[126, 100, 12]","[1, 24, 10]","[51, 51, 51]",,,,,,
Dapper,"[130, 99, 61]","[4, 36, 65]",,,,,,,
Diligent,"[149, 60, 53]","[149, 78, 29]","[96, 122, 38]","[1, 47, 45]","[82, 82, 82]",,,,
Eminent,"[153, 194, 181]","[10, 21, 182]","[106, 51, 135]",,,,,,
Placid,"[227, 26, 42]","[145, 111, 93]","[89, 55, 8]","[1, 24, 10]",,,,,
Practical,"[150, 58, 4]","[112, 116, 72]","[0, 86, 48]","[32, 104, 113]",,,,,
Quiet and sophisticated,"[227, 26, 42]","[53, 21, 3]","[138, 112, 12]","[96, 122, 38]","[1, 24, 10]","[51, 51, 51]",,,
Serious,"[227, 26, 42]","[53, 32, 6]","[33, 36, 10]","[2, 22, 23]","[26, 9, 42]","[40, 0, 24]","[82, 82, 82]",,
Sound,"[53, 21, 3]","[130, 99, 61]","[0, 86, 48]","[127, 127, 127]",,,,,
Strong and robust,"[227, 26, 42]","[53, 21, 3]","[53, 32, 6]","[1, 24, 10]","[2, 22, 35]","[5, 11, 148]","[73, 0, 35]",,
Subtle and mysterious,"[145, 111, 93]","[130, 99, 61]","[51, 73, 18]","[123, 150, 181]","[115, 95, 108]","[82, 82, 82]",,,
Authoritative,"[98, 116, 114]","[5, 11, 148]","[51, 51, 51]",,,,,,
Dignified,"[227, 26, 42]","[14, 57, 21]","[98, 116, 114]","[5, 11, 148]","[26, 9, 42]","[127, 127, 127]",,,
Carnets,"[4, 36, 65]","[12, 32, 120]","[127, 127, 127]",,,,,,
Formal,"[10, 21, 182]","[161, 161, 161]",,,,,,,
Majestic,"[1, 47, 45]","[121, 123, 131]","[32, 10, 70]","[73, 0, 35]","[127, 127, 127]",,,,
Precious,"[5, 60, 88]","[106, 51, 135]",,,,,,,
Proper,"[5, 11, 148]",,,,,,,,
Soleman,"[33, 36, 10]","[98, 116, 114]","[5, 11, 148]","[26, 9, 42]","[40, 0, 24]","[161, 161, 161]",,,
Sublime,"[98, 116, 114]","[12, 32, 120]","[99, 63, 110]","[161, 161, 161]",,,,,
Clean,"[153, 215, 179]","[153, 216, 212]","[179, 204, 206]",,,,,,
Clean and fresh,"[140, 201, 25]","[52, 156, 83]","[78, 181, 135]","[153, 216, 212]","[26, 67, 155]",,,,
Clear,"[255, 250, 184]","[153, 216, 212]","[128, 166, 206]","[255, 255, 255]",,,,,
Light,"[230, 245, 164]","[217, 288, 288]",,,,,,,
Neat,"[153, 215, 179]","[57, 89, 153]",,,,,,,
Pure,"[153, 215, 179]","[204, 236, 232]","[57, 89, 153]",,,,,,
Refreshing,"[145, 209, 127]","[78, 181, 135]","[103, 195, 183]","[217, 288, 288]",,,,,
Agile,"[1, 144, 102]","[103, 195, 183]","[26, 67, 155]",,,,,,
Smart,"[103, 124, 100]","[40, 163, 119]","[42, 135, 145]","[128, 166, 206]",,,,,
Steady,"[179, 22, 61]","[17, 147, 82]","[191, 230, 200]","[57, 89, 153]",,,,,
Youthful,"[255, 242, 63]","[179, 22, 61]","[52, 156, 83]","[78, 181, 135]","[103, 195, 183]","[57, 89, 153]","[255, 255, 255]",,
Cultivated,"[153, 215, 179]",,,,,,,,
Modern,"[1, 144, 102]","[42, 135, 145]","[51, 71, 108]","[177, 137, 193]","[222, 222, 222]",,,,
Rational,"[32, 104, 113]","[12, 32, 120]","[26, 9, 42]","[222, 222, 222]",,,,,
Sharp,"[1, 144, 102]","[3, 115, 138]","[26, 67, 155]","[255, 255, 255]",,,,,
Precise,"[91, 165, 159]","[166, 181, 183]","[82, 82, 82]",,,,,,
