Emotional_Word,Dimensions_1,Dimensions_2,Dimensions_3
Cute,"('Warm', 'Soft', 'Clear')","('Cool', 'Hard', 'Clear')","('Warm', 'Soft', 'Grayish')"
Childlike,"('Warm', 'Soft', 'Clear')","('Cool', 'Hard', 'Clear')","('Cool', 'Soft', 'Clear')"
Pretty,"('Warm', 'Soft', 'Clear')","('Cool', 'Hard', 'Clear')","('Cool', 'Soft', 'Clear')"
Sweet,"('Warm', 'Soft', 'Clear')","('Warm', 'Soft', 'Clear')","('Warm', 'Soft', 'Clear')"
Amusing,"('Warm', 'Hard', 'Clear')","('Cool', 'Hard', 'Clear')","('Cool', 'Soft', 'Clear')"
Bright,"('Warm', 'Hard', 'Grayish')","('Warm', 'Hard', 'Clear')","('Warm', 'Soft', 'Grayish')"
Casual,"('Warm', 'Soft', 'Clear')","('Warm', 'Hard', 'Clear')","('Cool', 'Hard', 'Clear')"
Cheerful,"('Warm', 'Soft', 'Clear')","('Warm', 'Soft', 'Clear')","('Cool', 'Hard', 'Clear')"
Colorful,"('Warm', 'Soft', 'Clear')","('Cool', 'Soft', 'Clear')","('Warm', 'Soft', 'Clear')"
Dazzling,"('Warm', 'Hard', 'Clear')","('Cool', 'Soft', 'Clear')","('Warm', 'Soft', 'Grayish')"
Enjoyable,"('Warm', 'Hard', 'Clear')","('Cool', 'Hard', 'Clear')","('Cool', 'Hard', 'Clear')"
Festive,"('Warm', 'Hard', 'Grayish')","('Cool', 'Hard', 'Clear')","('Cool', 'Soft', 'Clear')"
Flamboyant,"('Warm', 'Hard', 'Clear')","('Cool', 'Hard', 'Clear')","('Cool', 'Hard', 'Clear')"
Friendly,"('Warm', 'Hard', 'Clear')","('Cool', 'Hard', 'Clear')","('Warm', 'Soft', 'Grayish')"
Merry,"('Warm', 'Soft', 'Clear')","('Warm', 'Hard', 'Clear')","('Cool', 'Hard', 'Clear')"
Showy,"('Cool', 'Hard', 'Clear')","('Cool', 'Soft', 'Clear')","('Cool', 'Soft', 'Clear')"
Tropical,"('Warm', 'Hard', 'Clear')","('Cool', 'Soft', 'Clear')","('Warm', 'Soft', 'Grayish')"
Vivid,"('Cool', 'Hard', 'Clear')","('Cool', 'Soft', 'Clear')","('Cool', 'Soft', 'Grayish')"
Bold,"('Warm', 'Hard', 'Grayish')","('Cool', 'Hard', 'Clear')","('Cool', 'Soft', 'Grayish')"
Dynamic,"('Warm', 'Hard', 'Grayish')","('Cool', 'Hard', 'Clear')","('Cool', 'Soft', 'Clear')"
Dynamic and active,"('Warm', 'Hard', 'Grayish')","('Warm', 'Hard', 'Clear')","('Cool', 'Soft', 'Clear')"
Intense,"('Cool', 'Hard', 'Clear')","('Warm', 'Soft', 'Grayish')","('Cool', 'Soft', 'Grayish')"
Lively,"('Warm', 'Hard', 'Grayish')","('Warm', 'Hard', 'Clear')","('Cool', 'Hard', 'Clear')"
Provocative,"('Cool', 'Soft', 'Clear')","('Cool', 'Soft', 'Clear')","('Cool', 'Soft', 'Grayish')"
Striking,"('Cool', 'Hard', 'Clear')","('Cool', 'Soft', 'Clear')","('Warm', 'Soft', 'Grayish')"
Vigorous,"('Warm', 'Hard', 'Grayish')","('Cool', 'Soft', 'Clear')","('Cool', 'Soft', 'Clear')"
Abundant,"('Warm', 'Soft', 'Grayish')","('Warm', 'Hard', 'Clear')","('Cool', 'Soft', 'Grayish')"
Alluring,"('Warm', 'Soft', 'Grayish')","('Warm', 'Soft', 'Grayish')","('Warm', 'Soft', 'Grayish')"
Brilliant,"('Warm', 'Soft', 'Clear')","('Warm', 'Soft', 'Grayish')","('Warm', 'Soft', 'Grayish')"
Decorative,"('Cool', 'Hard', 'Clear')","('Cool', 'Soft', 'Grayish')","('Cool', 'Soft', 'Grayish')"
Extravagant,"('Warm', 'Soft', 'Grayish')","('Cool', 'Hard', 'Clear')","('Warm', 'Soft', 'Grayish')"
Fascinating,"('Warm', 'Soft', 'Grayish')","('Warm', 'Soft', 'Grayish')","('Warm', 'Soft', 'Clear')"
Glossy,"('Warm', 'Soft', 'Grayish')","('Warm', 'Soft', 'Grayish')","('Warm', 'Soft', 'Grayish')"
Gorgeous,"('Warm', 'Hard', 'Clear')","('Cool', 'Hard', 'Clear')","('Cool', 'Soft', 'Clear')"
Luxurious,"('Warm', 'Soft', 'Grayish')","('Warm', 'Hard', 'Clear')","('Cool', 'Hard', 'Clear')"
Mature,"('Warm', 'Soft', 'Grayish')","('Cool', 'Hard', 'Clear')","('Cool', 'Soft', 'Grayish')"
Mellow,"('Warm', 'Soft', 'Grayish')","('Warm', 'Hard', 'Grayish')","('Warm', 'Soft', 'Grayish')"
Rich,"('Warm', 'Soft', 'Grayish')","('Warm', 'Hard', 'Clear')","('Cool', 'Hard', 'Clear')"
Substantial,"('Warm', 'Soft', 'Grayish')","('Warm', 'Soft', 'Grayish')","('Cool', 'Hard', 'Clear')"
Conservative,"('Warm', 'Soft', 'Grayish')","('Warm', 'Soft', 'Grayish')","('Cool', 'Soft', 'Grayish')"
Elaborate,"('Warm', 'Soft', 'Grayish')","('Warm', 'Hard', 'Grayish')","('Cool', 'Soft', 'Grayish')"
Heavy and deep,"('Warm', 'Soft', 'Grayish')","('Warm', 'Soft', 'Grayish')","('Warm', 'Soft', 'Grayish')"
Old-fashioned,"('Warm', 'Soft', 'Grayish')","('Warm', 'Soft', 'Grayish')","('Warm', 'Hard', 'Grayish')"
Provincial,"('Warm', 'Soft', 'Grayish')","('Cool', 'Hard', 'Clear')","('Cool', 'Soft', 'Grayish')"
Rustic,"('Warm', 'Soft', 'Grayish')","('Warm', 'Soft', 'Grayish')","('Cool', 'Soft', 'Grayish')"
Sturdy,"('Warm', 'Soft', 'Grayish')","('Warm', 'Soft', 'Grayish')","('Cool', 'Soft', 'Grayish')"
Tasteful,"('Warm', 'Soft', 'Grayish')","('Warm', 'Soft', 'Grayish')","('Cool', 'Soft', 'Grayish')"
Traditional,"('Warm', 'Soft', 'Grayish')","('Warm', 'Soft', 'Grayish')","('Warm', 'Soft', 'Grayish')"
Bitter,"('Warm', 'Soft', 'Grayish')","('Cool', 'Soft', 'Grayish')","('Cool', 'Soft', 'Grayish')"
Diligent,"('Warm', 'Soft', 'Grayish')","('Warm', 'Soft', 'Grayish')","('Cool', 'Soft', 'Grayish')"
Eminent,"('Cool', 'Soft', 'Clear')","('Warm', 'Soft', 'Grayish')","('Warm', 'Soft', 'Grayish')"
Placid,"('Warm', 'Soft', 'Grayish')","('Warm', 'Soft', 'Grayish')","('Warm', 'Soft', 'Grayish')"
Practical,"('Warm', 'Soft', 'Grayish')","('Cool', 'Soft', 'Grayish')","('Cool', 'Soft', 'Grayish')"
Quiet and sophisticated,"('Warm', 'Soft', 'Grayish')","('Warm', 'Soft', 'Grayish')","('Warm', 'Hard', 'Grayish')"
Serious,"('Warm', 'Soft', 'Grayish')","('Warm', 'Soft', 'Grayish')","('Cool', 'Soft', 'Grayish')"
Sound,"('Warm', 'Soft', 'Grayish')","('Warm', 'Soft', 'Grayish')","('Cool', 'Soft', 'Grayish')"
Strong and robust,"('Warm', 'Soft', 'Grayish')","('Warm', 'Soft', 'Grayish')","('Warm', 'Soft', 'Grayish')"
Subtle and mysterious,"('Warm', 'Soft', 'Grayish')","('Warm', 'Soft', 'Grayish')","('Cool', 'Soft', 'Grayish')"
Authoritative,"('Cool', 'Soft', 'Grayish')","('Warm', 'Soft', 'Grayish')","('Cool', 'Soft', 'Grayish')"
Dignified,"('Warm', 'Soft', 'Grayish')","('Cool', 'Soft', 'Grayish')","('Cool', 'Soft', 'Grayish')"
Carnets,"('Warm', 'Soft', 'Grayish')","('Warm', 'Soft', 'Grayish')","('Cool', 'Soft', 'Clear')"
Majestic,"('Cool', 'Soft', 'Grayish')","('Warm', 'Soft', 'Clear')","('Warm', 'Soft', 'Grayish')"
Soleman,"('Cool', 'Soft', 'Grayish')","('Cool', 'Soft', 'Grayish')","('Warm', 'Soft', 'Grayish')"
Sublime,"('Cool', 'Soft', 'Grayish')","('Warm', 'Soft', 'Grayish')","('Warm', 'Soft', 'Grayish')"
Clean,"('Cool', 'Soft', 'Clear')","('Cool', 'Soft', 'Clear')","('Cool', 'Soft', 'Clear')"
Clean and fresh,"('Cool', 'Hard', 'Clear')","('Cool', 'Soft', 'Clear')","('Cool', 'Soft', 'Clear')"
Clear,"('Cool', 'Soft', 'Clear')","('Cool', 'Soft', 'Clear')","('Cool', 'Soft', 'Clear')"
Pure,"('Cool', 'Soft', 'Clear')","('Cool', 'Soft', 'Clear')","('Warm', 'Soft', 'Grayish')"
Refreshing,"('Cool', 'Soft', 'Clear')","('Cool', 'Soft', 'Clear')","('Cool', 'Soft', 'Clear')"
Agile,"('Cool', 'Soft', 'Clear')","('Cool', 'Soft', 'Clear')","('Warm', 'Soft', 'Grayish')"
Smart,"('Cool', 'Soft', 'Grayish')","('Cool', 'Soft', 'Clear')","('Cool', 'Soft', 'Clear')"
Steady,"('Warm', 'Soft', 'Grayish')","('Cool', 'Soft', 'Clear')","('Cool', 'Soft', 'Clear')"
Youthful,"('Cool', 'Hard', 'Clear')","('Warm', 'Soft', 'Grayish')","('Cool', 'Soft', 'Clear')"
Modern,"('Cool', 'Soft', 'Clear')","('Cool', 'Soft', 'Clear')","('Warm', 'Soft', 'Grayish')"
Rational,"('Cool', 'Soft', 'Grayish')","('Warm', 'Soft', 'Grayish')","('Warm', 'Soft', 'Grayish')"
Sharp,"('Cool', 'Soft', 'Clear')","('Cool', 'Soft', 'Grayish')","('Warm', 'Soft', 'Grayish')"
Precise,"('Cool', 'Soft', 'Clear')","('Cool', 'Soft', 'Clear')","('Cool', 'Soft', 'Grayish')"
