Emotional_Word,LAB_1,LAB_2,LAB_3
Cute,[76.42708741 29.78524415 17.91936229],[ 94.40736887 -10.52822276  57.84533487],[38.72085487 60.14318711 20.85893435]
Childlike,[62.45440758 55.64879485 36.84863968],[ 94.40736887 -10.52822276  57.84533487],[ 82.18211829 -20.72742506  -4.4461966 ]
Pretty,[76.42708741 29.78524415 17.91936229],[ 93.93761507 -14.1167006   81.3486706 ],[ 66.8355462  -40.85994144  14.6197465 ]
Sweet,[62.45440758 55.64879485 36.84863968],[82.17956197 16.12866383 32.15724044],[78.83061105 30.73421414  1.76403645]
Amusing,[75.23602389 24.36558604 58.94466287],[ 74.45661864 -42.50826053  70.84423229],[ 65.96773672 -36.83555972  15.11153384]
Bright,[47.870382   73.93899291 58.2702805 ],[59.888353   51.25373159 68.70983047],[38.72085487 60.14318711 20.85893435]
Casual,[64.08943866 40.52141144 30.08066912],[66.85854198 43.31685057 73.90118899],[ 93.93761507 -14.1167006   81.3486706 ]
Cheerful,[62.45440758 55.64879485 36.84863968],[82.17956197 16.12866383 32.15724044],[ 93.93761507 -14.1167006   81.3486706 ]
Colorful,[62.45440758 55.64879485 36.84863968],[ 66.8355462  -40.85994144  14.6197465 ],[ 62.5828238   25.37572404 -23.31427703]
Dazzling,[66.85854198 43.31685057 73.90118899],[ 66.8355462  -40.85994144  14.6197465 ],[ 28.26868619  46.22120138 -47.3257358 ]
Enjoyable,[66.85854198 43.31685057 73.90118899],[ 93.93761507 -14.1167006   81.3486706 ],[ 74.45661864 -42.50826053  70.84423229]
Festive,[47.870382   73.93899291 58.2702805 ],[ 74.45661864 -42.50826053  70.84423229],[ 1.00000000e+02 -2.45493786e-03  4.65342115e-03]
Flamboyant,[66.85854198 43.31685057 73.90118899],[ 93.78297018 -15.31768305  92.03433029],[ 74.45661864 -42.50826053  70.84423229]
Friendly,[75.23602389 24.36558604 58.94466287],[ 93.93761507 -14.1167006   81.3486706 ],[38.72085487 60.14318711 20.85893435]
Merry,[62.45440758 55.64879485 36.84863968],[75.23602389 24.36558604 58.94466287],[ 94.40736887 -10.52822276  57.84533487]
Showy,[ 93.78297018 -15.31768305  92.03433029],[ 53.59400067 -47.84740234  25.43406598],[ 59.86662035 -43.65085536  13.55946201]
Tropical,[66.85854198 43.31685057 73.90118899],[ 59.86662035 -43.65085536  13.55946201],[44.65589311 70.82079218 32.19973474]
Vivid,[ 93.78297018 -15.31768305  92.03433029],[ 53.59400067 -47.84740234  25.43406598],[ 44.3964605  -18.50173489 -20.25809013]
Bold,[47.870382   73.93899291 58.2702805 ],[ 93.78297018 -15.31768305  92.03433029],[ 44.3964605  -18.50173489 -20.25809013]
Dynamic,[47.870382   73.93899291 58.2702805 ],[ 93.78297018 -15.31768305  92.03433029],[ 53.59400067 -47.84740234  25.43406598]
Dynamic and active,[47.870382   73.93899291 58.2702805 ],[59.888353   51.25373159 68.70983047],[ 53.59400067 -47.84740234  25.43406598]
Intense,[ 93.78297018 -15.31768305  92.03433029],[ 30.87675582  20.19077766 -51.92147266],[0. 0. 0.]
Lively,[47.870382   73.93899291 58.2702805 ],[66.85854198 43.31685057 73.90118899],[ 93.78297018 -15.31768305  92.03433029]
Provocative,[ 53.59400067 -47.84740234  25.43406598],[ 59.86662035 -43.65085536  13.55946201],[ 44.3964605  -18.50173489 -20.25809013]
Striking,[ 74.45661864 -42.50826053  70.84423229],[ 73.10864834 -30.36854144  -2.45741637],[ 30.87675582  20.19077766 -51.92147266]
Vigorous,[47.870382   73.93899291 58.2702805 ],[ 53.59400067 -47.84740234  25.43406598],[ 52.85168263 -43.30465007  13.27926095]
