Emotional_Word,RGB_1,RGB_2,RGB_3,RGB_4,RGB_5,RGB_6,RGB_7,RGB_8,RGB_9
Cute,[[76.42708741 29.78524415 17.91936229]],[[ 94.40736887 -10.52822276  57.84533487]],[[38.72085487 60.14318711 20.85893435]],[[ 77.9645252  -35.68821166  34.3512417 ]],[[ 82.18211829 -20.72742506  -4.4461966 ]],[[65.84063982 53.96484149  2.84229914]],,,
Childlike,[[62.45440758 55.64879485 36.84863968]],[[ 94.40736887 -10.52822276  57.84533487]],[[ 82.18211829 -20.72742506  -4.4461966 ]],[[65.84063982 53.96484149  2.84229914]],,,,,
Pretty,[[76.42708741 29.78524415 17.91936229]],[[ 93.93761507 -14.1167006   81.3486706 ]],[[ 66.8355462  -40.85994144  14.6197465 ]],[[65.84063982 53.96484149  2.84229914]],,,,,
Sweet,[[62.45440758 55.64879485 36.84863968]],[[82.17956197 16.12866383 32.15724044]],[[78.83061105 30.73421414  1.76403645]],,,,,,
Amusing,[[75.23602389 24.36558604 58.94466287]],[[ 74.45661864 -42.50826053  70.84423229]],[[ 65.96773672 -36.83555972  15.11153384]],[[ 28.26868619  46.22120138 -47.3257358 ]],[[43.45491824 59.68453024 -0.08440348]],,,,
Bright,[[47.870382   73.93899291 58.2702805 ]],[[59.888353   51.25373159 68.70983047]],[[38.72085487 60.14318711 20.85893435]],[[ 72.5609971  -40.50037182  31.65732804]],,,,,
Casual,[[64.08943866 40.52141144 30.08066912]],[[66.85854198 43.31685057 73.90118899]],[[ 93.93761507 -14.1167006   81.3486706 ]],[[ 52.85168263 -43.30465007  13.27926095]],[[ 51.68177736 -23.17898077 -13.21468447]],[[80.30572244 -7.9617198  -3.82810831]],,,
Cheerful,[[62.45440758 55.64879485 36.84863968]],[[82.17956197 16.12866383 32.15724044]],[[ 93.93761507 -14.1167006   81.3486706 ]],,,,,,
Colorful,[[62.45440758 55.64879485 36.84863968]],[[ 66.8355462  -40.85994144  14.6197465 ]],[[ 62.5828238   25.37572404 -23.31427703]],[[44.65589311 70.82079218 32.19973474]],,,,,
Dazzling,[[66.85854198 43.31685057 73.90118899]],[[ 66.8355462  -40.85994144  14.6197465 ]],[[ 28.26868619  46.22120138 -47.3257358 ]],[[44.65589311 70.82079218 32.19973474]],,,,,
Delicious,[[37.62648776 36.95974326 23.29799735]],[[66.85854198 43.31685057 73.90118899]],,,,,,,
Enjoyable,[[66.85854198 43.31685057 73.90118899]],[[ 93.93761507 -14.1167006   81.3486706 ]],[[ 74.45661864 -42.50826053  70.84423229]],[[ 77.9645252  -35.68821166  34.3512417 ]],[[ 66.8355462  -40.85994144  14.6197465 ]],[[ 73.10864834 -30.36854144  -2.45741637]],[[65.84063982 53.96484149  2.84229914]],,
Festive,[[47.870382   73.93899291 58.2702805 ]],[[ 74.45661864 -42.50826053  70.84423229]],[[ 1.00000000e+02 -2.45493786e-03  4.65342115e-03]],,,,,,
Flamboyant,[[66.85854198 43.31685057 73.90118899]],[[ 93.78297018 -15.31768305  92.03433029]],[[ 74.45661864 -42.50826053  70.84423229]],[[ 53.59400067 -47.84740234  25.43406598]],[[44.65589311 70.82079218 32.19973474]],,,,
Friendly,[[75.23602389 24.36558604 58.94466287]],[[ 93.93761507 -14.1167006   81.3486706 ]],[[38.72085487 60.14318711 20.85893435]],[[ 73.84840378 -23.6142746   13.50195051]],,,,,
Happy,[[62.45440758 55.64879485 36.84863968]],[[65.84063982 53.96484149  2.84229914]],,,,,,,
Merry,[[62.45440758 55.64879485 36.84863968]],[[75.23602389 24.36558604 58.94466287]],[[ 94.40736887 -10.52822276  57.84533487]],[[ 72.5609971  -40.50037182  31.65732804]],[[65.84063982 53.96484149  2.84229914]],,,,
Showy,[[ 93.78297018 -15.31768305  92.03433029]],[[ 53.59400067 -47.84740234  25.43406598]],[[ 59.86662035 -43.65085536  13.55946201]],[[ 44.3964605  -18.50173489 -20.25809013]],[[ 28.26868619  46.22120138 -47.3257358 ]],[[44.65589311 70.82079218 32.19973474]],,,
Tropical,[[66.85854198 43.31685057 73.90118899]],[[ 59.86662035 -43.65085536  13.55946201]],[[44.65589311 70.82079218 32.19973474]],,,,,,
Vivid,[[ 93.78297018 -15.31768305  92.03433029]],[[ 53.59400067 -47.84740234  25.43406598]],[[ 44.3964605  -18.50173489 -20.25809013]],[[44.65589311 70.82079218 32.19973474]],,,,,
Active,[[ 52.85168263 -43.30465007  13.27926095]],[[ 44.3964605  -18.50173489 -20.25809013]],,,,,,,
Bold,[[47.870382   73.93899291 58.2702805 ]],[[ 93.78297018 -15.31768305  92.03433029]],[[ 44.3964605  -18.50173489 -20.25809013]],[[0. 0. 0.]],,,,,
Dynamic,[[47.870382   73.93899291 58.2702805 ]],[[ 93.78297018 -15.31768305  92.03433029]],[[ 53.59400067 -47.84740234  25.43406598]],[[44.65589311 70.82079218 32.19973474]],,,,,
Dynamic and active,[[47.870382   73.93899291 58.2702805 ]],[[59.888353   51.25373159 68.70983047]],[[ 53.59400067 -47.84740234  25.43406598]],,,,,,
Fiery,[[44.65589311 70.82079218 32.19973474]],[[0. 0. 0.]],,,,,,,
Forceful,[[47.870382   73.93899291 58.2702805 ]],[[66.85854198 43.31685057 73.90118899]],,,,,,,
Hot,[[47.870382   73.93899291 58.2702805 ]],[[69.09651417 -5.91776263 70.38165268]],,,,,,,
Intense,[[ 93.78297018 -15.31768305  92.03433029]],[[ 30.87675582  20.19077766 -51.92147266]],[[0. 0. 0.]],,,,,,
Lively,[[47.870382   73.93899291 58.2702805 ]],[[66.85854198 43.31685057 73.90118899]],[[ 93.78297018 -15.31768305  92.03433029]],[[ 53.59400067 -47.84740234  25.43406598]],[[ 30.87675582  20.19077766 -51.92147266]],,,,
Provocative,[[ 53.59400067 -47.84740234  25.43406598]],[[ 59.86662035 -43.65085536  13.55946201]],[[ 44.3964605  -18.50173489 -20.25809013]],[[ 28.26868619  46.22120138 -47.3257358 ]],[[44.65589311 70.82079218 32.19973474]],,,,
Striking,[[ 74.45661864 -42.50826053  70.84423229]],[[ 73.10864834 -30.36854144  -2.45741637]],[[ 30.87675582  20.19077766 -51.92147266]],,,,,,
Vigorous,[[47.870382   73.93899291 58.2702805 ]],[[ 53.59400067 -47.84740234  25.43406598]],[[ 52.85168263 -43.30465007  13.27926095]],[[ 30.87675582  20.19077766 -51.92147266]],,,,,
Abundant,[[48.56375808 71.237139   45.91004705]],[[66.85854198 43.31685057 73.90118899]],[[ 39.83051961 -27.83461195  14.06272482]],,,,,,
Alluring,[[48.56375808 71.237139   45.91004705]],[[ 32.21598127  39.46972704 -37.16881207]],[[43.45491824 59.68453024 -0.08440348]],,,,,,
Aromatic,[[59.888353   51.25373159 68.70983047]],,,,,,,,
Brilliant,[[62.45440758 55.64879485 36.84863968]],[[ 28.26868619  46.22120138 -47.3257358 ]],[[43.45491824 59.68453024 -0.08440348]],,,,,,
Decorative,[[69.09651417 -5.91776263 70.38165268]],[[ 31.50568391 -32.88833524  15.87915303]],[[ 36.31190718 -22.70891692   2.3723325 ]],[[ 28.26868619  46.22120138 -47.3257358 ]],[[43.45491824 59.68453024 -0.08440348]],,,,
Extravagant,[[27.90042721 50.84611721 38.1880292 ]],[[69.09651417 -5.91776263 70.38165268]],[[  8.70711337  27.00764484 -33.01473349]],[[34.3289517  33.05144412 -4.0015988 ]],,,,,
Fascinating,[[48.56375808 71.237139   45.91004705]],[[ 28.26868619  46.22120138 -47.3257358 ]],[[65.84063982 53.96484149  2.84229914]],,,,,,
Glossy,[[48.56375808 71.237139   45.91004705]],[[ 28.26868619  46.22120138 -47.3257358 ]],[[43.45491824 59.68453024 -0.08440348]],,,,,,
Gorgeous,[[75.23602389 24.36558604 58.94466287]],[[ 74.45661864 -42.50826053  70.84423229]],[[ 65.96773672 -36.83555972  15.11153384]],[[ 28.26868619  46.22120138 -47.3257358 ]],[[43.45491824 59.68453024 -0.08440348]],,,,
Luxurious,[[48.56375808 71.237139   45.91004705]],[[59.888353   51.25373159 68.70983047]],[[69.09651417 -5.91776263 70.38165268]],[[  8.70711337  27.00764484 -33.01473349]],[[20.99259125 44.21571895  0.68428081]],,,,
Mature,[[48.56375808 71.237139   45.91004705]],[[69.09651417 -5.91776263 70.38165268]],[[ 47.6825648  -22.73542323  41.22979746]],[[20.99259125 44.21571895  0.68428081]],,,,,
Mellow,[[48.56375808 71.237139   45.91004705]],[[48.2843494   0.94697791 51.99932612]],[[  8.70711337  27.00764484 -33.01473349]],[[34.3289517  33.05144412 -4.0015988 ]],,,,,
Rich,[[48.56375808 71.237139   45.91004705]],[[59.888353   51.25373159 68.70983047]],[[69.09651417 -5.91776263 70.38165268]],[[ 43.544525   -29.1720476   41.48748568]],[[ 20.33629454 -23.85574707  18.03298193]],,,,
