Munsell,R,G,B,
5R 4/14,229,0,13
5YR 6.5/15, 255,127,0,
5Y 8/15, 255,242,0,
5GY 7/12, 140,201,25,
5G 5/11, 17,147,82,
5BG 5/11, 1,144,102,
5B 5/11, 3,115,138,
5PB 4/12, 26,67,155,
5P 4/12, 95,35,141,
5RP 4/12, 212,0,57,
5R 5/10, 227,26,42,
5YR 6/12, 242,100,1,
5Y 6/11, 191,169,11,
5GY 6/10, 115,184,29,
5G 5/9, 52,156,83,
5BG 5.5/9, 40,163,119,
5B 5/9, 42,135,145,
5PB 4/9, 57,89,153,
5P 4/10, 106,51,135,
5RP 4/10, 187,45,105,
5R 7/10, 251,103,89,
5YR 8/7, 253,166,74,
5Y 8/11, 255,242,63,
5GY 8/11, 179,22,61,
5G 7/10, 116,196,118,
5BG 7/9, 78,181,135,
5B 7/8, 103,195,183,
5PB 7/8, 128,166,206,
5P 7/9, 177,137,193,
5RP 7/10, 248,117,157,
5R 8/6, 251,167,157,
5YR 9/4, 253,192,145,
5Y 9/6, 255,242,124,
5GY 8.5/6, 173,219,93,
5G 8/6, 145,209,127,
5BG 8/5, 153,215,179,
5B 8/5, 153,216,212,
5PB 8/6, 179,204,206,
5P 8/6, 207,179,215,
5RP 8/6, 251,174,193,
5R 9/2, 253,217,205,
5YR 9/1, 254,230,194,
5Y 9/1, 255,250,184,
5GY 9/12, 230,245,164,
5G 9/2, 192,230,184,
5BG 9/2, 191,230,200,
5B 9/2, 204,236,232,
5PB 9/1, 217,288,288,
5P 9/2, 234,216,227,
5RP 9/2, 249,223,226,
5R 8/2, 210,168,159,
5YR 8/2, 208,180,137,
5Y 8/2, 208,194,142,
5GY 8/3, 171,181,136,
5G 8/2, 153,193,151,
5BG 8/3, 144,193,156,
5B 7.5/2, 153,194,181,
5PB 7/2, 166,181,183,
5P 7/2, 198,183,186,
5RP 7.5/2, 215,188,188,
5R 6/6, 234,124,104,
5YR 7/5, 215,144,92,
5Y 6/4, 166,151,51,
5GY 6/5, 140,174,67,
5G 6/6, 103,186,116,
5BG 6.5/6, 90,177,132,
5B 6/5, 91,165,159,
5PB 6/4, 123,150,181,
5P 6/4, 165,123,177,
5RP 7/4, 202,130,144,
5R 5.5/2, 138,60,53,
5YR 5/2, 145,111,93,
5Y 5/1, 130,99,61,
5GY 5/2, 112,116,72,
5G 5/2, 103,124,100,
5BG 5/2, 116,139,116,
5B 6/2, 98,116,114,
5PB 5/2, 121,123,131,
5P 5/2, 115,95,108,
5RP 5/2, 133,95,104,
5R 5/5, 149,60,53,
5YR 4/6, 149,78,29,
5Y 5/6, 138,112,12,
5GY 5/5, 96,122,38,
5G 4/5, 47,105,70,
5BG 4/6, 37,95,81,
5B 4/6, 32,104,113,
5PB 4/6, 51,71,108,
5P 4/5, 99,63,110,
5RP 5/5, 126,58,88,
5R 3/10, 138,0,7,
5YR 4/9, 150,58,4,
5Y 5/8, 126,100,12,
5GY 4/8, 73,114,26,
5G 3/7, 0,86,48,
5BG 3.5/7, 1,78,70,
5B 4/10, 5,60,88,
5PB 3/9, 12,32,120,
5P 3/8, 32,10,70,
5RP 3/10, 105,0,51
5R 2.5/8, 112,11,1,
5YR 3/7, 112,41,3,
5Y 3.5/6, 89,55,8,
5GY 3/6, 51,73,18,
5G 3/6, 14,57,21,
5BG 3/4, 1,47,45,
5B 2.5/4, 4,36,65,
5PB 3/5, 10,21,182,
5P 3/6, 32,10,70,
5RP 3/6, 73,0,35,
5R 2.3/3, 45,0,5,
5YR 2/2, 53,21,3,
5Y 2/3, 53,32,6,
5GY 2/2, 33,36,10,
5G 2/2, 1,24,10,
5BG 2/2, 2,22,23,
5B 2/2.5, 2,22,35,
5PB 2/2.5, 5,11,148,
5P 2/2, 26,9,42,
5RP 2/2, 40,0,24,
N9.5, 255,255,255,
N9, 242,242,242,
N8, 222,222,222,
N7, 186,186,186,
N6, 161,161,161,
N5, 127,127,127,
N4, 82,82,82,
N3, 51,51,51,
N2, 26,26,26,
N1.5, 0,0,0,
