Word,Color,Freq,Percentage,Type
Afraid,Black,50,50%,Negative
Afraid,Red,27,27%,Negative
Afraid,Blue,10,10%,Negative
Afraid,Green,3,3%,Negative
Afraid,Brown,2,2%,Negative
Agony,Black,49,49%,Negative
Agony,Red,32,32%,Negative
Agony,Brown,8,8%,Negative
Agony,Blue,4,4%,Negative
Agony,Gray,3,3%,Negative
Agony,Green,2,2%,Negative
Agony,Orange,1,1%,Negative
Agony,Silver,1,1%,Negative
Agony,Teal,1,1%,Negative
Angry,Red,79,79%,Negative
Angry,Black,14,14%,Negative
Angry,Brown,2,2%,Negative
Angry,Blue,2,2%,Negative
Angry,Yellow,1,1%,Negative
Angry,Orange,1,1%,Negative
Angry,Dark gray,1,1%,Negative
Angry,Dusty red,1,1%,Negative
Anguished,Red,36,36%,Negative
Anguished,Gray,16,16%,Negative
Anguished,Blue,15,15%,Negative
Anguished,Black,13,13%,Negative
Anguished,Green,9,9%,Negative
Anguished,White,3,3%,Negative
Anguished,Yellow,1,1%,Negative
Anguished,Orange,1,1%,Negative
Anguished,Silver,1,1%,Negative
Anguished,Fire Brick,1,1%,Negative
Contempt,Red,25,25%,Negative
Contempt,Black,19,19%,Negative
Contempt,Blue,16,16%,Negative
Contempt,Green,13,13%,Negative
Contempt,Yellow,6,6%,Negative
Contempt,Pink,5,5%,Negative
Contempt,White,5,5%,Negative
Contempt,Gray,4,4%,Negative
Contempt,Orange,4,4%,Negative
Contempt,Brown,1,1%,Negative
Contempt,Dark Gray,1,1%,Negative
Contempt,Pale Green,1,1%,Negative
Contempt,Crimson,1,1%,Negative
Cruel,Red,46,46%,Negative
Cruel,Black,34,34%,Negative
Cruel,Green,6,6%,Negative
Cruel,Blue,4,4%,Negative
Cruel,Gray,4,4%,Negative
Cruel,Brown,2,2%,Negative
Cruel,White,2,2%,Negative
Cruel,Yellow,1,1%,Negative
Cruel,Purple,1,1%,Negative
Cruel,Dark red,1,1%,Negative
Depressed,Blue,43,43%,Negative
Depressed,Black,31,31%,Negative
Depressed,Gray,12,12%,Negative
Depressed,Red,7,7%,Negative
Depressed,Yellow,3,3%,Negative
Depressed,Brown,2,2%,Negative
