Word,Color1,Color2,Color3
Afraid,Black,Red,Blue
Agony,Black,Red,Brown
Angry,Red,Black,Brown
Anguished,Red,Gray,Blue
Contempt,Red,Black,Blue
Cruel,Red,Black,Green
Depressed,Blue,Black,Gray
Discouraged,Blue,Black,Red
Disgusted,Green,Brown,Red
Dreadful,Black,Red,Green
Embarrassed,Red,Blue,Green
Enraged,Red,Black,Blue
Fear,Red,Black,Gray
Frustrated,Red,Black,Green
Guilty,Red,Green,Black
Helpless,Black,Gray,White
Hostile,Red,Black,White
Jealousy,Green,Red,Blue
Lonely,Blue,Black,Gray
Mad,Red,Black,Blue
Misery,Black,Red,Blue
Moody,Blue,Gray,Red
Nervous,Red,Green,Blue
Panic,Red,Black,Blue
Rage,Red,Black,Pink
Regretful,Red,Black,Blue
Sad,Blue,Black,Red
Scared,Red,Black,Blue
Shamed,Red,Blue,Gray
Suspicious,Red,Green,Black
Word,Color,,
Tense,Red,Black,Green
Terrified,Red,Black,Blue
Troubled,Red,Blue,Gray
Unhappy,Blue,Black,Gray
Upset,Blue,Red,Black
