Word,Color,Freq,Percentage
Afraid,Black,50,50%
Afraid,Red,27,27%
Afraid,Blue,10,10%
Afraid,Green,3,3%
Afraid,Brown,2,2%
Agony,Black,49,49%
Agony,Red,32,32%
Agony,Brown,8,8%
Agony,Blue,4,4%
Agony,Gray,3,3%
Agony,Green,2,2%
Agony,Orange,1,1%
Agony,Silver,1,1%
Agony,Teal,1,1%
Angry,Red,79,79%
Angry,Black,14,14%
Angry,Brown,2,2%
Angry,Blue,2,2%
Angry,Yellow,1,1%
Angry,Orange,1,1%
Angry,Dark gray,1,1%
Angry,Dusty red,1,1%
Anguished,Red,36,36%
Anguished,Gray,16,16%
Anguished,Blue,15,15%
Anguished,Black,13,13%
Anguished,Green,9,9%
Anguished,White,3,3%
Anguished,Yellow,1,1%
Anguished,Orange,1,1%
Anguished,Silver,1,1%
Anguished,Fire Brick,1,1%
Contempt,Red,25,25%
Contempt,Black,19,19%
Contempt,Blue,16,16%
Contempt,Green,13,13%
Contempt,Yellow,6,6%
Contempt,Pink,5,5%
Contempt,White,5,5%
Contempt,Gray,4,4%
Contempt,Orange,4,4%
Contempt,Brown,1,1%
Contempt,Dark Gray,1,1%
Contempt,Pale Green,1,1%
Contempt,Crimson,1,1%
Cruel,Red,46,46%
Cruel,Black,34,34%
Cruel,Green,6,6%
Cruel,Blue,4,4%
Cruel,Gray,4,4%
Cruel,Brown,2,2%
Cruel,White,2,2%
Cruel,Yellow,1,1%
Cruel,Purple,1,1%
Cruel,Dark red,1,1%
Depressed,Blue,43,43%
Depressed,Black,31,31%
Depressed,Gray,12,12%
Depressed,Red,7,7%
Depressed,Yellow,3,3%
Depressed,Brown,2,2%
Depressed,Green,1,1%
Depressed,Midnight blue,1,1%
Depressed,Navy,1,1%
Discouraged,Blue,29,29%
Discouraged,Black,25,25%
Discouraged,Red,15,15%
Discouraged,Gray,10,10%
Discouraged,Brown,9,9%
Discouraged,Yellow,5,5%
Discouraged,Green,3,3%
Discouraged,Orange,2,2%
Discouraged,White,1,1%
Discouraged,Indigo,1,1%
Disgusted,Green,25,25%
Disgusted,Brown,21,21%
Disgusted,Red,20,20%
Disgusted,Black,18,18%
Disgusted,Gray,4,4%
Disgusted,Blue,3,3%
Disgusted,Orange,3,3%
Disgusted,Purple,2,2%
Disgusted,White,1,1%
Disgusted,Yellow,1,1%
Disgusted,Violet,1,1%
Disgusted,Tan,1,1%
Disgusted,Orange/red,1,1%
Dreadful,Black,54,53%
Dreadful,Red,24,24%
Dreadful,Green,7,7%
Dreadful,Gray,6,6%
Dreadful,Blue,5,5%
Dreadful,White,2,2%
Dreadful,Brown,1,1%
Dreadful,Dark red,1,1%
Dreadful,Orange yellow,1,1%
Embarrassed,Red,67,66%
Embarrassed,Blue,8,8%
Embarrassed,Green,6,6%
Embarrassed,Black,5,5%
Embarrassed,Yellow,4,4%
Embarrassed,Pink,4,4%
Embarrassed,Gray,3,3%
Embarrassed,Purple,2,2%
Embarrassed,Brown,2,2%
Embarrassed,Turquoise,1,1%
Enraged,Red,73,72%
Enraged,Black,15,15%
Enraged,Blue,4,4%
Enraged,White,1,1%
Enraged,Gray,1,1%
Enraged,Yellow,1,1%
Enraged,Green,1,1%
Enraged,Purple,1,1%
Enraged,Orange,1,1%
Enraged,Gold,1,1%
Enraged,Silver,1,1%
Enraged,Dark Red,1,1%
Fear,Red,50,49%
Fear,Black,34,33%
Fear,Gray,6,6%
Fear,Blue,5,5%
Fear,Green,4,4%
Fear,Yellow,1,1%
Fear,Orange,1,1%
Fear,Crimson,1,1%
Frustrated,Red,52,51%
Frustrated,Black,17,17%
Frustrated,Green,10,10%
Frustrated,Gray,6,6%
Frustrated,Blue,4,4%
Frustrated,Yellow,4,4%
Frustrated,Purple,3,3%
Frustrated,Orange,3,3%
Frustrated,Brown,2,2%
Guilty,Red,30,30%
Guilty,Green,21,21%
Guilty,Black,16,16%
Guilty,Gray,12,12%
Guilty,Blue,11,11%
Guilty,Yellow,4,4%
Guilty,White,2,2%
Guilty,Brown,2,2%
Guilty,Orange,2,2%
Guilty,Turquoise,1,1%
Helpless,Black,24,24%
Helpless,Gray,17,17%
Helpless,White,14,14%
Helpless,Blue,13,13%
Helpless,Yellow,8,8%
Helpless,Red,7,75%
Helpless,Green,5,5%
Helpless,Brown,5,5%
Helpless,Orange,3,3%
Helpless,Purple,2,2%
Helpless,Tan,1,1%
Helpless,Coral,1,1%
Helpless,Light gray,1,1%
Hostile,Red,60,60%
Hostile,Black,26,26%
Hostile,White,3,3%
Hostile,Gray,3,3%
Hostile,Blue,2,2%
Hostile,Yellow,1,1%
Hostile,Green,1,1%
Hostile,Purple,1,1%
Hostile,Brown,1,1%
Hostile,Silver,1,1%
Hostile,Dark red,1,1%
Jealousy,Green,58,58%
Jealousy,Red,22,22%
Jealousy,Blue,9,9%
Jealousy,Yellow,4,4%
Jealousy,Purple,2,2%
Jealousy,Black,2,2%
Jealousy,Pink,1,1%
Jealousy,Brown,1,1%
Jealousy,Violet,1,1%
Lonely,Blue,47,46%
Lonely,Black,16,16%
Lonely,Gray,13,13%
Lonely,White,8,8%
Lonely,Red,4,4%
Lonely,Green,3,3%
Lonely,Yellow,2,2%
Lonely,Pink,2,2%
Lonely,Purple,2,2%
Lonely,Light blue,1,1%
Lonely,Pale green,1,1%
Lonely,Mahogany,1,1%
Lonely,Blue violet,1,1%
Lonely,Blue gray,1,1%
Mad,Red,82,83%
Mad,Black,13,13%
Mad,Blue,1,1%
Mad,Brown,1,1%
Mad,Dark Red,1,1%
Mad,Scarlett,1,1%
Misery,Black,47,47%
Misery,Red,20,20%
Misery,Blue,11,11%
Misery,Gray,10,10%
Misery,Green,6,6%
Misery,White,4,4%
Misery,Purple,1,1%
Misery,Brown,1,1%
Misery,Dark Purple,1,1%
Moody,Blue,22,22%
Moody,Gray,17,17%
Moody,Red,13,13%
Moody,Black,13,13%
Moody,Green,9,9%
Moody,Purple,8,8%
Moody,Brown,8,8%
Moody,Yellow,2,2%
Moody,Orange,2,2%
Moody,Maroon,2,2%
Moody,White,1,1%
Moody,Pink,1,1%
Moody,Navy,1,1%
Moody,Rainbow,1,1%
Moody,Indigo,1,1%
Nervous,Red,22,22%
Nervous,Green,16,16%
Nervous,Blue,15,15%
Nervous,Yellow,14,14%
Nervous,Gray,8,8%
Nervous,Orange,8,8%
Nervous,Black,5,5%
Nervous,Brown,5,5%
Nervous,White,4,4%
Nervous,Silver,1,1%
Nervous,Light green,1,1%
Nervous,Fuschia,1,1%
Panic,Red,72,71%
Panic,Black,8,8%
Panic,Blue,8,8%
Panic,Yellow,4,4%
Panic,White,2,2%
Panic,Green,2,2%
Panic,Purple,1,1%
Panic,Brown,1,1%
Panic,Orange,1,1%
Panic,Beige,1,1%
Panic,Indian red,1,1%
Rage,Red,89,90%
Rage,Black,8,8%
Rage,Pink,1,1%
Rage,Green,1,1%
Regretful,Red,29,29%
Regretful,Black,28,28%
Regretful,Blue,16,16%
Regretful,Green,8,8%
Regretful,Gray,7,7%
Regretful,Yellow,6,6%
Regretful,Purple,3,3%
Regretful,White,1,1%
Regretful,Pink,1,1%
Regretful,Brown,1,1%
Regretful,Orange,1,1%
Sad,Blue,61,60%
Sad,Black,19,19%
Sad,Red,7,7%
Sad,Gray,4,4%
Sad,Yellow,4,4%
Sad,Green,3,3%
Sad,Pink,1,1%
Sad,Purple,1,1%
Sad,Brown,1,1%
Sad,Midnight blue,1,1%
Scared,Red,38,38%
Scared,Black,31,31%
Scared,Blue,10,10%
Scared,Yellow,6,6%
Scared,White,4,4%
Scared,Green,4,4%
Scared,Gray,3,3%
Scared,Orange,3,3%
Scared,Purple,1,1%
Scared,Brown,1,1%
Shamed,Red,25,25%
Shamed,Blue,15,15%
Shamed,Gray,14,14%
Shamed,Black,14,14%
Shamed,Yellow,11,11%
Shamed,Green,10,10%
Shamed,Purple,2,2%
Shamed,Brown,2,2%
Shamed,Orange,2,2%
Shamed,White,1,1%
Shamed,Pink,1,1%
Shamed,Tan,1,1%
Shamed,Dark gray,1,1%
Shamed,Coffee black,1,1%
Suspicious,Red,36,36%
Word,Color,Freq,Percentage
Suspicious,Green,15,15%
Suspicious,Black,14,14%
Suspicious,Gray,13,13%
Suspicious,Blue,8,8%
Suspicious,Orange,7,7%
Suspicious,Purple,3,3%
Suspicious,White,2,2%
Suspicious,Yellow,1,1%
Suspicious,Brown,1,1%
Suspicious,Dark orange,1,1%
Tense,Red,42,42%
Tense,Black,18,18%
Tense,Green,9,9%
Tense,Gray,7,7%
Tense,Blue,6,6%
Tense,Orange,6,6%
Tense,Brown,4,4%
Tense,White,3,3%
Tense,Yellow,2,2%
Tense,Purple,2,2%
Tense,Tan,1,1%
Tense,Navy,1,1%
Terrified,Red,38,38%
Terrified,Black,36,36%
Terrified,Blue,9,9%
Terrified,Gray,6,6%
Terrified,Green,6,6%
Terrified,White,3,3%
Terrified,Yellow,1,1%
Terrified,Orange,1,1%
Terrified,Deep purple,1,1%
Troubled,Red,32,32%
Troubled,Blue,17,17%
Troubled,Gray,13,13%
Troubled,Green,13,13%
Troubled,Black,13,13%
Troubled,Brown,5,5%
Troubled,Orange,2,2%
Troubled,White,1,1%
Troubled,Yellow,1,1%
Troubled,Pink,1,1%
Troubled,Purple,1,1%
Troubled,Silver,1,1%
Troubled,Dark gray,1,1%
Unhappy,Blue,42,42%
Unhappy,Black,19,19%
Unhappy,Gray,15,15%
Unhappy,Red,11,11%
Unhappy,Yellow,4,4%
Unhappy,Brown,4,4%
Unhappy,Green,2,2%
Unhappy,Orange,2,2%
Unhappy,White,1,1%
Unhappy,Purple,1,1%
Upset,Blue,41,41%
Upset,Red,27,27%
Upset,Black,14,14%
Upset,Gray,8,8%
Upset,Brown,3,3%
Upset,Yellow,1,1%
Upset,Green,1,1%
Upset,Purple,1,1%
Upset,Orange,1,1%
Upset,Dark Red,1,1%
Upset,Peach,1,1%
Upset,Navy,1,1%
