Word,Color1,Color2,Color3
Admired,Red,,
Affection,Red,Pink,
Aroused,Red,,
Astonished,Yellow,White,
Beautiful,Pink,,
Brave,Red,Blue,
Cheer,Yellow,Red,
Confident,Red,Blue,
Elated,Yellow,White,Blue
Friendly,Yellow,,
Grateful,Blue,,
Happy,Yellow,,
Hopeful,Blue,White,
Inspired,Yellow,,
Joy,Yellow,Red,
Joyful,Yellow,Blue,Red
Kind,Yellow,,
Love,Red,,
Lust,Red,,
Merry,Red,,
Nice,Yellow,Blue,
Passion,Red,,
Proud,Blue,Red,
Relaxed,Blue,,
Safe,White,Blue,
Satisfied,Blue,,
Secure,Blue,White,
Surprised,Red,Yellow,
Triumphant,Yellow,Red,
