Word,Color,Freq,Percentage
Admired,Red,43,43%
Admired,Blue,14,14%
Admired,Pink,14,14%
Admired,Yellow,12,12%
Admired,Orange,4,4%
Admired,White,4,4%
Admired,Black,2,2%
Admired,Gold,2,2%
Admired,Green,2,2%
Admired,Violet,1,1%
Admired,Light cyan,1,1%
Admired,Silver,1,1%
Admired,Sky blue,1,1%
Affection,Red,49,49%
Affection,Pink,28,28%
Affection,Yellow,8,8%
Affection,Blue,8,8%
Affection,Purple,3,3%
Affection,White,2,2%
Affection,Green,1,1%
Affection,Light blue,1,1%
Affection,Gold,1,1%
Aroused,Red,63,63%
Aroused,Pink,11,11%
Aroused,Yellow,7,7%
Aroused,Blue,6,6%
Aroused,White,5,5%
Aroused,Green,3,3%
Aroused,Brown,2,2%
Aroused,Black,2,2%
Aroused,Orange,1,1%
Aroused,Hot pink,1,1%
Aroused,Blue-green,1,1%
Astonished,Yellow,24,24%
Astonished,White,21,21%
Astonished,Red,18,18%
Astonished,Blue,11,11%
Astonished,Orange,9,9%
Astonished,Green,6,6%
Astonished,Black,3,3%
Astonished,Gray,2,2%
Astonished,Baby blue,1,1%
Astonished,Brown,1,1%
Astonished,Purple,1,1%
Astonished,Light blue,1,1%
Astonished,Milk white,1,1%
Astonished,Chartreuse,1,1%
Astonished,Cream/ivory,1,1%
Beautiful,Pink,36,35%
Beautiful,Blue,20,19%
Beautiful,Yellow,9,9%
Beautiful,Purple,8,8%
Beautiful,White,6,6%
Beautiful,Red,6,6%
Beautiful,Black,5,5%
Beautiful,Green,4,4%
Beautiful,Brown,2,2%
Beautiful,Gold,2,2%
Beautiful,Sky Blue,2,2%
Beautiful,Orange,1,1%
Beautiful,Silver,1,1%
Brave,Red,36,36%
Brave,Blue,28,28%
Brave,Gold,8,8%
Brave,Yellow,5,5%
Brave,Brown,5,5%
Brave,Black,4,4%
Brave,White,3,3%
Brave,Green,3,3%
Brave,Orange,3,3%
Brave,Purple,3,3%
Brave,Violet,1,1%
Brave,Silver,1,1%
Brave,Bronze,1,1%
Cheer,Yellow,38,38%
Cheer,Red,24,24%
Cheer,Blue,11,11%
Cheer,Pink,8,8%
Cheer,Orange,6,6%
Cheer,White,5,5%
Cheer,Purple,4,4%
Cheer,Green,3,3%
Cheer,Maroon,1,1%
Confident,Red,32,31%
Confident,Blue,26,25%
Confident,Yellow,13,13%
Confident,Purple,6,6%
Confident,White,4,4%
Confident,Pink,4,4%
Confident,Green,4,4%
Confident,Gold,4,4%
Confident,Black,3,3%
Confident,Orange,3,3%
Confident,Violet,2,2%
Confident,Turquoise,1,1%
Elated,Yellow,21,21%
Elated,White,21,21%
Elated,Blue,21,21%
Elated,Red,9,9%
Elated,Pink,6,6%
Elated,Purple,5,5%
Elated,Gray,5,5%
Elated,Green,5,5%
Elated,Orange,2,2%
Elated,Brown,2,2%
Elated,Black,1,1%
Elated,Baby blue,1,1%
Friendly,Yellow,41,41%
Friendly,Blue,18,18%
Friendly,Pink,16,16%
Friendly,Red,11,11%
Friendly,Green,7,7%
Friendly,Purple,3,3%
Friendly,Orange,3,3%
Friendly,Peach,1,1%
Grateful,Blue,22,22%
Grateful,Yellow,17,17%
Grateful,Green,15,15%
Grateful,White,8,8%
Grateful,Purple,8,8%
Grateful,Red,7,7%
Grateful,Pink,7,7%
Grateful,Orange,6,6%
Grateful,Gray,5,5%
Grateful,Lilac,1,1%
Grateful,Beige,1,1%
Grateful,Cream,1,1%
Grateful,Coral,1,1%
Grateful,Lime green,1,1%
Grateful,Black,1,1%
Happy,Yellow,53,53%
Happy,Red,17,17%
Happy,Pink,11,11%
Happy,Blue,8,8%
Happy,Green,6,6%
Happy,Purple,2,2%
Happy,White,2,2%
Happy,Bright red,1,1%
Hopeful,Blue,29,29%
Hopeful,White,28,28%
Hopeful,Yellow,18,18%
Hopeful,Pink,9,9%
Hopeful,Red,5,5%
Hopeful,Orange,3,3%
Hopeful,Green,1,1%
Hopeful,Silver,1,1%
Hopeful,Magenta,1,1%
Hopeful,Light blue,1,1%
Hopeful,Antique white,1,1%
Hopeful,Periwinkle,1,1%
Hopeful,Pale yellow,1,1%
Hopeful,Brown,1,1%
Inspired,Yellow,23,23%
Inspired,White,19,19%
Inspired,Blue,19,19%
Inspired,Red,15,15%
Inspired,Pink,5,5%
Inspired,Purple,5,5%
Inspired,Green,4,4%
Inspired,Orange,2,2%
Inspired,Lavender,2,2%
Inspired,Black,1,1%
Inspired,Violet,1,1%
Inspired,Gold,1,1%
Inspired,Light blue,1,1%
Inspired,Peach,1,1%
Inspired,Teal,1,1%
Inspired,Blue-green,1,1%
Inspired,Baby blue,1,1%
Joy,Yellow,27,27%
Joy,Red,21,21%
Joy,Pink,13,13%
Joy,Blue,12,12%
Joy,White,9,9%
Joy,Green,7,7%
Joy,Purple,4,4%
Joy,Orange,4,4%
Joy,Gold,1,1%
Joy,Silver,1,1%
Joy,Turquoise,1,1%
Joyful,Yellow,37,37%
Joyful,Blue,26,26%
Joyful,Red,21,21%
Joyful,White,6,6%
Joyful,Pink,3,3%
Joyful,Green,3,3%
Joyful,Black,1,1%
Joyful,Orange,1,1%
Joyful,Gold,1,1%
Joyful,Periwinkle,1,1%
Kind,Yellow,27,26%
Kind,Blue,20,20%
Kind,Pink,20,20%
Kind,Green,13,13%
Kind,White,8,8%
Kind,Red,5,5%
Kind,Purple,4,4%
Kind,Orange,2,2%
Kind,Gray,1,1%
Kind,Charcoal,1,1%
Kind,Sea foam green,1,1%
Love,Red,77,76%
Love,Pink,9,9%
Love,White,4,4%
Love,Blue,4,4%
Love,Yellow,2,2%
Love,Purple,2,2%
Love,Green,1,1%
Love,Orange,1,1%
Love,Gold,1,1%
Lust,Red,69,68%
Lust,Pink,8,8%
Lust,Black,8,8%
Lust,Purple,4,4%
Lust,Yellow,3,3%
Lust,Orange,2,2%
Lust,Violet,2,2%
Lust,White,1,1%
Lust,Blue,1,1%
Lust,Green,1,1%
Lust,Brown,1,1%
Lust,Dark red,1,1%
Merry,Red,65,65%
Merry,Green,13,13%
Merry,Yellow,10,10%
Merry,Blue,6,6%
Merry,Pink,2,2%
Merry,Gray,1,1%
Merry,Purple,1,1%
Merry,Orange,1,1%
Merry,Salmon,1,1%
Nice,Yellow,30,29%
Nice,Blue,24,23%
Nice,Pink,17,17%
Nice,White,13,13%
Nice,Red,5,5%
Nice,Green,2,2%
Nice,Purple,2,2%
Nice,Black,2,2%
Nice,Gold,2,2%
Nice,Silver,1,1%
Nice,Lilac,1,1%
Nice,Light blue,1,1%
Nice,Indigo,1,1%
Passion,Red,79,77%
Passion,Pink,6,6%
Passion,White,4,4%
Passion,Blue,4,4%
Passion,Yellow,3,3%
Passion,Purple,2,2%
Passion,Green,1,1%
Passion,Black,1,1%
Passion,Dark red,1,1%
Passion,Scarlett,1,1%
Proud,Blue,28,27%
Proud,Red,21,21%
Proud,Yellow,16,16%
Proud,White,10,10%
Proud,Purple,8,8%
Proud,Orange,5,5%
Proud,Green,4,4%
Proud,Black,3,3%
Proud,Pink,2,2%
Proud,Gold,2,2%
Proud,Beige,1,1%
Proud,Peach,1,1%
Proud,Misty rose,1,1%
Relaxed,Blue,43,42%
Relaxed,White,14,14%
Relaxed,Yellow,12,12%
Relaxed,Pink,6,6%
Relaxed,Green,6,6%
Relaxed,Red,4,4%
Relaxed,Purple,3,3%
Relaxed,Light blue,3,3%
Relaxed,Tan,2,2%
Relaxed,Sky blue,2,2%
Relaxed,Gray,1,1%
Relaxed,Brown,1,1%
Relaxed,Peach,1,1%
Relaxed,Lavender,1,1%
Relaxed,Off white,1,1%
Relaxed,Forest green,1,1%
Relaxed,Baby blue,1,1%
Safe,White,31,30%
Safe,Blue,30,29%
Safe,Yellow,10,10%
Safe,Green,8,8%
Safe,Gray,6,6%
Safe,Red,5,5%
Safe,Black,4,4%
Safe,Pink,2,2%
Safe,Purple,1,1%
Safe,Brown,1,1%
Safe,Orange,1,1%
Safe,Gold,1,1%
Safe,Beige,1,1%
Safe,Pale blue,1,1%
Satisfied,Blue,33,33%
Satisfied,Red,18,18%
Satisfied,Yellow,14,14%
Satisfied,White,11,11%
Satisfied,Green,9,9%
Satisfied,Pink,7,7%
Satisfied,Orange,4,4%
Satisfied,Purple,1,1%
Satisfied,Black,1,1%
Satisfied,Gold,1,1%
Satisfied,Lime green,1,1%
Secure,Blue,27,27%
Secure,White,23,23%
Secure,Red,14,14%
Secure,Yellow,9,9%
Secure,Green,8,8%
Secure,Gray,5,5%
Secure,Black,3,3%
Secure,Gold,3,3%
Secure,Silver,2,2%
Secure,Pink,1,1%
Secure,Purple,1,1%
Secure,Brown ,1,1%
Secure,Orange,1,1%
Secure,Light blue,1,1%
Secure,Salmon,1,1%
Secure,Sapphire,1,1%
Surprised,Red,32,32%
Surprised,Yellow,26,26%
Surprised,White,9,9%
Surprised,Blue,8,8%
Surprised,Orange,8,8%
Surprised,Pink,7,7%
Surprised,Green,3,3%
Surprised,Purple,2,2%
Surprised,Black,1,1%
Surprised,Violet,1,1%
Surprised,Gold,1,1%
Surprised,Silver,1,1%
Triumphant,Yellow,26,26%
Triumphant,Red,22,22%
Triumphant,Blue,11,11%
Triumphant,Gold,10,10%
Triumphant,White,6,6%
Triumphant,Purple,5,5%
Triumphant,Green,4,4%
Triumphant,Black,4,4%
Triumphant,Gray,3,3%
Triumphant,Brown,3,3%
Triumphant,Pink,2,2%
Triumphant,Orange,2,2%
Triumphant,Silver,2,2%
Triumphant,Bronze,1,1%
