Emotion,RGB1_R,RGB1_G,RGB1_B,RGB2_R,RGB2_G,RGB2_B,RGB3_R,RGB3_G,RGB3_B
Bright,229,0,13,225,225,255,253,166,74
Festive,229,0,13,225,225,255,255,242,0
Lively,229,0,13,225,225,255,26,67,155
Hot,229,0,13,138,112,12,255,242,0
Vigorous,229,0,13,255,242,0,12,32,120
Bold,229,0,13,225,225,255,0,0,0
Forceful,227,26,42,0,0,0,229,0,13
Dynamic,229,0,13,0,0,0,255,242,0
Rich,242,100,1,222,26,42,191,169,11
Mature,222,26,42,251,167,157,126,58,88
Alluring,222,26,42,202,130,144,126,58,88
Untamed,222,26,42,150,58,4,47,105,70
Glossy,227,26,42,191,169,11,177,137,193
Fascinating,99,63,110,227,26,42,165,123,177
Luxurious,222,26,42,191,169,11,40,0,24
Mellow,73,10,35,222,26,42,32,10,70
Sweet,251,103,89,253,217,205,253,192,145
Cheerful,251,103,89,253,192,145,155,242,124
Childlike,251,103,89,255,250,184,153,216,212
Joyful,248,117,157,255,242,124,251,103,89
Bright,251,103,89,255,255,255,255,242,0
Merry,253,217,205,191,169,11,116,196,118
Festive,229,0,13,255,255,255,251,103,89
Colourful,255,242,63,251,103,89,177,137,193
Sweet,251,167,89,255,250,184,253,192,145
Pretty,251,103,89,251,167,157,254,230,194
Sunny,251,167,157,254,230,194,210,168,159
Generous,234,124,104,251,167,157,255,250,184
Childlike,251,167,89,255,242,124,145,209,127
Cute,252,167,157,255,242,124,153,216,212
Feminine,252,167,157,254,230,194,198,183,186
Amiable,208,180,137,253,217,205,208,194,142
Innocent,253,217,205,255,255,255,192,230,184
Smooth,253,217,205,210,168,159,234,124,104
Gentle,253,217,205,198,183,186,208,194,142
Supple,253,217,205,222,222,222,192,230,184
Soft,253,217,205,251,174,193,234,216,227
Charming,251,174,193,253,217,205,204,236,232
Supple,210,168,159,198,183,186,254,230,194
Soft,254,230,194,242,242,242,171,181,136
Smooth,215,144,92,210,168,159,253,217,205
Amiable,254,230,194,210,168,159,186,186,186
Mild,210,168,159,234,124,104,149,78,29
Genteed,210,168,159,115,95,108,198,183,186
Pleasant,234,124,104,208,194,142,215,144,92
Mild,254,230,194,208,180,137,234,124,104
Tender,254,230,194,234,124,104,207,137,193
Emotional,215,188,188,234,124,104,145,111,93
Casual,153,166,74,255,250,184,234,124,104
Graceful,234,124,104,215,188,188,115,95,108
Calm,138,101,97,222,222,222,112,116,72
Sedate,217,228,228,186,186,186,138,101,97
Nostalgic,210,168,159,138,101,97,149,60,53
Japanese,138,101,97,208,180,137,130,99,61
Elegant,198,183,186,138,101,97,115,95,108
Mellow,138,0,7,138,101,97,72,13,104
Sleek,126,58,88,138,101,97,215,188,188
Pleasant,149,60,53,215,144,92,208,194,142
Nostalgic,149,60,53,208,180,137,138,112,12
Interesting,72,13,104,149,60,53,112,116,72
Diligent,149,60,53,10,21,82,96,122,38
Alluring,99,63,110,149,60,53,138,0,7
Extravagant,138,0,7,191,169,11,72,13,104
Mellow,138,0,7,145,111,93,32,10,70
Ethnic,138,0,7,99,63,110,138,112,12
Rich,138,0,7,191,169,11,51,73,18
Luxurious,191,169,11,138,0,7,0,0,0
Robust,0,0,0,138,0,7,112,11,1
Untamed,138,0,7,0,0,0,14,57,21
Fruitful,112,11,1,149,60,53,215,144,92
Elaborate,138,112,12,112,11,1,106,51,135
Mellow,112,11,1,149,60,53,72,13,104
Substantial,112,116,72,112,11,1,0,0,0
Untamed,51,73,18,112,11,1,33,36,10
Wild,229,0,13,45,0,5,191,169,11
Untamed,126,100,12,138,0,7,45,0,5
Serious,45,0,5,112,41,3,26,9,42
Dazzling,229,0,13,255,127,0,255,242,63
Flamboyant,255,127,0,212,0,57,255,242,0
Forceful,229,0,13,255,127,0,255,242,0
Abundant,255,127,0,166,151,51,227,26,42
Tropical,212,0,57,255,127,0,0,86,48
Casual,255,127,0,255,242,124,78,181,135
Enjoyable,255,127,0,255,242,0,103,195,183
Lively,255,127,0,255,255,255,26,67,155
Delicious,255,127,0,149,78,29,253,192,145
Aromatic,242,100,1,253,192,145,150,58,4
Delicious,227,26,42,242,100,1,149,60,53
Luxurious,138,0,7,99,63,110,242,100,1
Bright,229,0,13,242,242,242,242,100,1
Abundant,227,26,42,191,169,11,242,100,1
Enjoyable,242,100,1,255,242,63,78,181,135
Rich,242,100,1,227,26,42,126,58,88
Untamed,242,100,1,45,0,5,89,55,8
Delicious,255,242,124,253,166,74,254,230,194
Merry,251,103,89,255,242,124,153,166,74
Bright,229,0,13,255,255,255,153,166,74
Friendly,153,166,74,255,255,255,255,242,63
Open,153,166,74,255,242,124,153,215,179
Lively,229,0,13,153,166,74,26,67,155
Lighthearted,153,166,74,255,250,184,116,196,118
Amusing,153,166,74,145,209,127,248,117,157
Healthy,153,166,74,255,250,184,103,195,183
Sweet,251,167,89,254,230,194,253,192,145
Cheerful,177,137,193,253,192,145,255,242,124
Domestic,253,192,145,234,124,104,208,180,137
Restful,253,192,145,255,250,184,171,181,136
Lighthearted,253,192,145,255,250,184,166,151,51
Intimate,254,230,194,253,192,145,215,144,92
Free,253,192,145,255,250,184,153,215,179
