image_path,color
images_jpg\1.jpg,"(138, 146, 139)"
images_jpg\2.jpg,"(146, 142, 131)"
images_jpg\3.jpg,"(142, 150, 132)"
images_jpg\4.jpg,"(143, 138, 137)"
images_jpg\5.jpg,"(161, 150, 147)"
images_jpg\6.jpg,"(177, 157, 146)"
images_jpg\7.jpg,"(171, 163, 155)"
images_jpg\8.jpg,"(177, 157, 144)"
images_jpg\9.jpg,"(145, 142, 133)"
images_jpg\10.jpg,"(118, 116, 108)"
images_jpg\11.jpg,"(141, 135, 130)"
images_jpg\12.jpg,"(158, 152, 145)"
images_jpg\13.jpg,"(158, 152, 145)"
images_jpg\14.jpg,"(145, 128, 118)"
images_jpg\15.jpg,"(145, 135, 122)"
images_jpg\16.jpg,"(125, 96, 82)"
images_jpg\17.jpg,"(124, 124, 111)"
images_jpg\18.jpg,"(133, 127, 101)"
images_jpg\19.jpg,"(138, 134, 128)"
images_jpg\20.jpg,"(129, 119, 101)"
images_jpg\21.jpg,"(131, 127, 107)"
images_jpg\22.jpg,"(159, 139, 112)"
images_jpg\23.jpg,"(117, 118, 104)"
images_jpg\24.jpg,"(132, 129, 96)"
images_jpg\25.jpg,"(106, 109, 98)"
images_jpg\26.jpg,"(160, 154, 144)"
images_jpg\27.jpg,"(93, 92, 86)"
images_jpg\28.jpg,"(131, 127, 99)"
images_jpg\29.jpg,"(139, 143, 138)"
images_jpg\30.jpg,"(129, 129, 119)"
images_jpg\31.jpg,"(144, 145, 141)"
images_jpg\32.jpg,"(109, 98, 91)"
images_jpg\33.jpg,"(84, 84, 74)"
images_jpg\34.jpg,"(118, 121, 107)"
images_jpg\35.jpg,"(113, 118, 102)"
images_jpg\36.jpg,"(149, 135, 105)"
images_jpg\37.jpg,"(180, 174, 149)"
images_jpg\38.jpg,"(169, 156, 136)"
images_jpg\39.jpg,"(144, 138, 124)"
images_jpg\40.jpg,"(142, 142, 141)"
images_jpg\41.jpg,"(142, 135, 126)"
images_jpg\42.jpg,"(127, 119, 90)"
images_jpg\43.jpg,"(60, 46, 39)"
images_jpg\44.jpg,"(186, 183, 184)"
images_jpg\45.jpg,"(137, 132, 119)"
images_jpg\46.jpg,"(122, 116, 114)"
images_jpg\47.jpg,"(85, 73, 61)"
images_jpg\48.jpg,"(116, 107, 82)"
images_jpg\49.jpg,"(78, 70, 54)"
images_jpg\50.jpg,"(118, 105, 95)"
