dataset-paintings\all paintings-photos\1.jpg,"(138, 146, 139)"
dataset-paintings\all paintings-photos\2.jpg,"(146, 142, 131)"
dataset-paintings\all paintings-photos\3.jpg,"(142, 150, 132)"
dataset-paintings\all paintings-photos\4.jpg,"(143, 138, 137)"
dataset-paintings\all paintings-photos\5.jpg,"(161, 150, 147)"
dataset-paintings\all paintings-photos\6.jpg,"(177, 157, 146)"
dataset-paintings\all paintings-photos\7.jpg,"(171, 163, 155)"
dataset-paintings\all paintings-photos\8.jpg,"(177, 157, 144)"
dataset-paintings\all paintings-photos\9.jpg,"(145, 142, 133)"
dataset-paintings\all paintings-photos\10.jpg,"(118, 116, 108)"
dataset-paintings\all paintings-photos\11.jpg,"(141, 135, 130)"
dataset-paintings\all paintings-photos\12.jpg,"(168, 154, 139)"
dataset-paintings\all paintings-photos\13.jpg,"(158, 152, 145)"
dataset-paintings\all paintings-photos\14.jpg,"(145, 128, 118)"
dataset-paintings\all paintings-photos\15.jpg,"(145, 135, 122)"
dataset-paintings\all paintings-photos\16.jpg,"(125, 96, 82)"
dataset-paintings\all paintings-photos\17.jpg,"(124, 124, 111)"
dataset-paintings\all paintings-photos\18.jpg,"(133, 127, 101)"
dataset-paintings\all paintings-photos\19.jpg,"(138, 134, 128)"
dataset-paintings\all paintings-photos\20.jpg,"(129, 119, 101)"
dataset-paintings\all paintings-photos\21.jpg,"(131, 127, 107)"
dataset-paintings\all paintings-photos\22.jpg,"(159, 139, 112)"
dataset-paintings\all paintings-photos\23.jpg,"(117, 118, 104)"
dataset-paintings\all paintings-photos\24.jpg,"(132, 129, 96)"
dataset-paintings\all paintings-photos\25.jpg,"(106, 109, 98)"
dataset-paintings\all paintings-photos\26.jpg,"(160, 154, 144)"
dataset-paintings\all paintings-photos\27.jpg,"(93, 92, 86)"
dataset-paintings\all paintings-photos\28.jpg,"(131, 127, 99)"
dataset-paintings\all paintings-photos\29.jpg,"(139, 143, 138)"
dataset-paintings\all paintings-photos\30.jpg,"(129, 129, 119)"
dataset-paintings\all paintings-photos\31.jpg,"(144, 145, 141)"
dataset-paintings\all paintings-photos\32.jpg,"(109, 98, 91)"
dataset-paintings\all paintings-photos\33.jpg,"(84, 84, 74)"
dataset-paintings\all paintings-photos\34.jpg,"(118, 121, 107)"
dataset-paintings\all paintings-photos\35.jpg,"(113, 118, 102)"
dataset-paintings\all paintings-photos\36.jpg,"(149, 135, 105)"
dataset-paintings\all paintings-photos\37.jpg,"(180, 174, 149)"
dataset-paintings\all paintings-photos\38.jpg,"(169, 156, 136)"
dataset-paintings\all paintings-photos\39.jpg,"(144, 138, 124)"
dataset-paintings\all paintings-photos\40.jpg,"(142, 142, 141)"
dataset-paintings\all paintings-photos\41.jpg,"(142, 135, 126)"
dataset-paintings\all paintings-photos\42.jpg,"(127, 119, 90)"
dataset-paintings\all paintings-photos\43.jpg,"(60, 46, 39)"
dataset-paintings\all paintings-photos\44.jpg,"(186, 183, 184)"
dataset-paintings\all paintings-photos\45.jpg,"(137, 132, 119)"
dataset-paintings\all paintings-photos\46.jpg,"(122, 116, 114)"
dataset-paintings\all paintings-photos\47.jpg,"(85, 73, 61)"
dataset-paintings\all paintings-photos\48.jpg,"(116, 107, 82)"
dataset-paintings\all paintings-photos\49.jpg,"(78, 70, 54)"
